index,sortable,citation_engl,citation_heb,attribution_chain,attributions_cited_in_story,rabbis_mentioned_in_sequel,party_or_parties,party_ids,judge,satlow_sperling_id,judge_gen,Ri,Pu,St,Pr,Vow,Oth,rabb_actor,explicit_case
98,0302.065a.001,Ketubot 65a,כתובות דף סה עמוד א,,,,Wife of Abbaye,_121,Rava,2582,B4,,,1,1,,,1,1
99,0302.065a.002,Ketubot 65a,כתובות דף סה עמוד א,,,,Wife of Yosef b. Rava,_1781,Nehemiah b. Yosef,2277,B5,,,1,1,,,1,1
100,0302.065a.003,Ketubot 65a,כתובות דף סה עמוד א,,,,Wife of Yosef b. Menashia,_1776,Yosef,1764,B3,,,1,1,,,1,1
101,0302.069b.001,Ketubot 69b,כתובות דף סט עמוד א,Manyomi b. Nehumi,,,anon[Ket25_widow]; anon[Ke26_brothers],B0302_36; B0302_37,Ameimar,514,B6,,,1,1,,,,1
102,0302.078b.001,Ketubot 78b,כתובות דף עט עמוד א,,Hanilai b. Idi --> Samuel,Anan; Uqba; Rava,anon[Ket26_widow]; anon[Ke27_daughter],B0302_38; B0302_39,Nahman,2285,B4,,,,1,,,,1
103,0302.080a.001,Ketubot 80a,כתובות דף פ עמוד א,Judges of Pumbedita,,,anon[Ket29],B0302_40,Judah,1394,B2,,,1,1,,,,
104,0302.080a.002,Ketubot 80a,כתובות דף פ עמוד א,,,Rabbanan,anon[Ket30],B0302_41,Ammi,495,P4,,,1,1,,,,
105,0302.080b.001,Ketubot 80b,כתובות דף פ עמוד ב,Pappa,,,anon[Ket31_wife],B0302_42,Rava,2582,B4,,,1,1,,,,
106,0302.084b.001,Ketubot 84b,כתובות דף פד עמוד ב,,,,Herdsman; Orphans; creditors,B0302_43; B0302_44+; B0302_45+,Nahman,2285,B4,,,,1,,,,
107,0302.084b.002,Ketubot 84b,כתובות דף פד עמוד ב,,,,Relations of Yohanan; anon[Ket_xx_orphans],_1570; B0302_58+,Yohanan; Resh Laqish,1570; 2879,P2,,,,1,,,1,
108,0302.085a.001,Ketubot 85a,כתובות דף פה עמוד א,,Rav; Samuel; Nahman,Pinhas b. Ammi,Pappa; Hunah b Joshua,2518; 918,Rava,2582,B4,,,,1,,,1,1
109,0302.085a.002,Ketubot 85a,כתובות דף פה עמוד א,,,,(Abimi b. Abahu?);Hamma b. Rabbah b. Abbahu,_131; 20990,Abahu,92,P3,,,,1,,,1,
