Source,Target,Type,Id,sortable,partyname,judgename,judgegen_composite,judgegen,judgegeog,rabb. actor
B0302_16,1508,Directed,1675,0302.027b.003,Anon[Ket13],Joshua b. Levi OR Rabbi,P1; L,X,P,N
B0302_6,1508,Directed,1666,0302.010b.002,Anon[Ket5],Rabbi,L,X,P,N
B0203_01,1508,Directed,1659,0205.082b.002,anon pregnant woman,Rabbi,Px,X,P,N
0301_28,1508,Directed,1646,0301.105b.001,minor widow,Judah Patriarch,L,X,P,N
B0503-13,1508,Directed,1586,0503.051a.001,anon(ovda),Rabbi,T,0,P,X
B0401_14,1508,Directed,1461,0401.090b.001,Anon[BQ-10],Judah Patriarch,Lx,X,P,N
B0403_61,1508,Directed,1360,0403.164b.002,Bearer of a bound document presented it,Rabbi,T,0,P,N
B0403_60,1508,Directed,1359,0403.160b.001; 0403.164b.001x,Bearer of a bound document presented it,Rabbi,T,X,P,N
B0403_2+_,1508,Directed,1260,0403.008a.001,anon[BB-2; Tiberians],Rabbi,Px,X,P,Y
rabbanan,1508,Directed,1259,0403.008a.001,Rabbanan,Rabbi,Px,X,P,Y
B0302_10,1544,Directed,1671,0302.025b.002,Anon[Ket9 priest],Joshua b. Levi,P1,1,P,N
B0302_9,1544,Directed,1670,0302.025b.002,Anon[Ket8 witness],Joshua b. Levi,P1,1,P,N
0306_05,1544,Directed,1526,0306.018b.001,[wife],Joshua b. Levi,P1,1,P,N
0306_04,1544,Directed,1525,0306.018b.001,agents,Joshua b. Levi,P1,1,P,N
0306_03,1544,Directed,1524,0306.018b.001,Husband,Joshua b. Levi,P1,1,P,N
2839,1544,Directed,1515,0306.005b.001,Simeon b. Abba,Joshua b. Levi,P1,1,P,Y
pair_of_rabbis,1544,Directed,1510,0101.009a.001,Pair of sages [or: Zogax],Joshua b. Levi,P1,1,P,Y
kenishta_de_ma'on,1570,Directed,1881,0201.139a.001,kenishta de Ma'on,Yohanan,P1,1,P,N
Beth_Sheanites,1570,Directed,1843,0203.050b.001,Beth-Sheanites,Yohanan,P2,2,P,N
2409,1570,Directed,1801,0303.022b.001,Ulla,Yohanan,P2,2,P,Y
0303_07,1570,Directed,1799,0303.021b.005,Anon,Yohanan,P2,2,P,N
0607_15,1570,Directed,1790,0607.066a.003,Woman who discharges blood after miqveh,Yohanan,P1,1,P,N
B0302_58+,1570,Directed,1721,0302.094b.001,Anon[Ket_xx_orphans],Yohanan,P2,2,P,Y
_1570,1570,Directed,1690,0302.052b.001,Relations of Yohanan[P2],Yohanan,P2,2,P,Y
0301_16,1570,Directed,1632,0301.065b.002,Wife with no children from husband,Yohanan,P2,2,P,N
0301_12,1570,Directed,1628,0301.064b.002,mother of newborns,Yohanan,P2,2,P,N
B0503-18+,1570,Directed,1601,0503.097a.001,anon[ovda](multiplex),Yohanan,P2,2,P,N
_1885+,1570,Directed,1594,0503.076b.001,house of R. Ishaq,Yohanan,P2,2,P,Y
B0401_17,1570,Directed,1467,0401.099b.001,Anon[BQ-11],Yohanan,P2,2,P,N
B0402_10,1570,Directed,1408,0402.048b.001,Anon[BM-11],Yohanan,P2,2,P,Y
B0403_52,1570,Directed,1333,0403.143a.002,anon[ovda],Yohanan,P2,2,P,N
0301_08,1663,Directed,1621,0301.045b.001,offspring of married and gentile,Yose br Abin,P4x P5x,X,P,N
0301_07,1663,Directed,1620,0301.045b.001,Offspring of unmarried and gentile,Yose br Abin,P4x P5x,X,P,N
0301_36,1684,Directed,1623,0301.045b.002,offspring of married and gentile,Yose b. Zabida,Px,X,P,N
0301_09,1684,Directed,1622,0301.045b.002,Offspring of unmarried and gentile,Yose b. Zabida,Px,X,P,N
1764,2285,Directed,1867,0406.030a.001,[Yosef],Nahman,B3,3,B,Y
_194,1764,Directed,1863,0307.076b.001,Host of Ada b.Ahaba,Joseph[b.Hiyya],B3,3,B,Y
people_of_qaquna,1764,Directed,1834,0202.060a,people of  Qaquna,Joseph[b.Hiyya],B3,3,B,N
B0404_09x,1764,Directed,1817,0404.05a.001,anonx,Joseph[b.Hiyya],B3,3,B,Y
2161,1764,Directed,1816,0404.05a.001,Mar Zutra,Joseph[b.Hiyya],B3,3,B,Y
B0302_60,1764,Directed,1747,0302.094b.002,Anon[Ket39_creditor],Joseph[b.Hiyya],B3,3,B,N
B0302_59,1764,Directed,1746,0302.094b.002,Anon[Ket38_creditor],Joseph[b.Hiyya],B3,3,B,N
_1776,1764,Directed,1709,0302.065a.001,Wife of Yosef b. Menashia,Joseph[b.Hiyya],B3,3,B,Y
_2681,1764,Directed,1699,0302.057a.001,Sister of Rami b. Hamma,Joseph[b.Hiyya],B3,3,B,Y
B0302_23+,1764,Directed,1685,0302.050b.005,Anon[Ket19] (and orphans),Joseph[b.Hiyya],B3,3,B,N
B0302_2+,1764,Directed,1667,0302.013a.001,Anon[betrothed man and woman](2),Joseph[b.Hiyya],B3,3,B,N
0301_34,1764,Directed,1657,0301.121b.001,Wife of missing husband,Joseph[b.Hiyya],B3,3,B,N
B0503-03,1764,Directed,1573,0503.039b.001,anon(slaughterers),Joseph[b.Hiyya],B3,3,B,X
Arabs,1764,Directed,1572,0503.039b.001,Arabs,Joseph[b.Hiyya],B3,3,B,X
B0503-01+,1764,Directed,1568,0503.010b.001,anon[ovda](multiplex),Joseph[b.Hiyya],B3,3,B,N
22946,1764,Directed,1395,0402.029b.001,Rahava,Joseph[b.Hiyya],B3,3,B,X
B0403_40,1764,Directed,1319,0403.096b.001,anon[ovda],Joseph[b.Hiyya],B2,2,B,N
2582,1764,Directed,1269,0403.022a.003,Rava[B4],Joseph[b.Hiyya],B3,3,B,Y
B0403_1,1764,Directed,1258,0403.006a.001,Anon[BB-1; ovda],Joseph[b.Hiyya],B3,3,B,N
0307_10,1776,Directed,1865,0307.079b.001,Woman who betrothed herself and her father betrothed,Yosef b. Menashia of Dewil,B2,2,B,N
B0505_wife_2,1781,Directed,1836,0505.023b.001,wife,Josepf b. Rab,B5,5,B,N
B0505_husband_1,1781,Directed,1835,0505.023b.001,husband,Josepf b. Rab,B5,5,B,N
B0505_Anon_1,1804,Directed,1839,0505.024a.001,[borrowerx],Yemar,B6,6,B,N
B0403_39,1804,Directed,1315,0403.088a.001,anon[BB-39; thief],Yemar,B6,6,B,N
B0403_38,1804,Directed,1314,0403.088a.001,anon[BB-38; butcher],Yemar,B6,6,B,N
B0403_37_,1804,Directed,1313,0403.088a.001,anon[BB-37],Yemar,B6,6,B,N
_1814,1814,Directed,1800,0303.022a.001,grandson of Yannai,Yannai,P1,1,P,Y
0607_11,1814,Directed,1787,0607.058a.001,Woman found blood on warp[mashtitax],Yannai,P1,1,P,N
B0403_34+,1814,Directed,1310,0403.060a.002,anon[BB-34; people in public domain],Yannai,P1,1,P,N
B0403_33,1814,Directed,1309,0403.060a.002,anon[BB-33;Owner of tree],Yannai,P1,1,P,N
B0302_46,1885,Directed,1718,del,Abba[P5],Ishaq Napaha,P3,3,P,Y
B0503-09,1885,Directed,1582,0503.048b.001,anon(slaughterer or animal owner),Ishaq Napaha,P3,3,P,N
B0403_41,1901,Directed,1320,0403.100a.001,[owner/purchaser of vineyard],Ishaq b. Ammi,B4,4,B,N
1903,2478,Directed,1654,0301.113b.001,Ishaq b. Bisana,Pedat,P4,4,P,Y
Yalta,1913,Directed,1774,0607.020b.003,Yalta,Ishaq b Yehuda,B3,3,B,Y
0607_16,1954,Directed,1777,0607.024a.002,woman having discharged a fetus with two spines,Yirmiah b. Abba,B2,2,B,N
_2769,1954,Directed,1460,0401.088a.001,Mother of Samuel b. Abba of Hagronya[xx],Yirmiah b. Abba,B2,2,B,Y
B0403_67+,1954,Directed,1369,0403.167b.001,anonymuswomen(2),Yirmiah b. Abba,B2,2,B,Y
Anon[BM-4],1954,Directed,1350,0403.153a.002,Anon,Yirmiah b. Abba,B2,2,B,N
